"","days","Name","Past","Pres","Fcast"
"388",2019-01-05,"ColoradoSprings",8.413,9.366,11.501
"389",2019-01-05,"ColumbiaSC",14.87,15.874,18.955
"390",2019-01-05,"ColumbusOH",9.189,10.259,12.576
"391",2019-01-05,"Concord",6.613,7.368,10.088
"392",2019-01-05,"Concordia",9.247,9.95,11.493
"393",2019-01-05,"CorpusChristi",19.952,20.807,22.641
"394",2019-01-05,"DallasFortWorth",15.567,16.354,17.635
"395",2019-01-05,"Denver",8.809,9.189,9.726
"396",2019-01-05,"DesMoines",7.187,8.728,10.781
"397",2019-01-05,"Detroit",8.33,8.914,11.419
"398",2019-01-05,"DodgeCity",10.148,10.896,11.874
"399",2019-01-05,"Dubuque",6.21,6.9,8.126
"400",2019-01-05,"Duluth",3.052,4.371,6.922
"401",2019-01-05,"EauClaire",4.508,5.863,7.302
"402",2019-01-05,"Erie",8.187,9.047,11.745
"403",2019-01-05,"Eureka",13.21,13.509,14.389
"404",2019-01-05,"Evansville",10.627,11.504,13.128
"405",2019-01-05,"Fargo",3.538,4.877,6.456
"406",2019-01-05,"Flagstaff",7.335,8.351,10.279
"407",2019-01-05,"FortSmith",13.153,14.11,15.704
"408",2019-01-05,"Fresno",14.561,16.419,19.814
"409",2019-01-05,"GrandJunction",8.863,9.081,11.162
"410",2019-01-05,"GrandRapids",7.363,8.248,10.608
"411",2019-01-05,"GreenBay",5.281,6.574,9.248
"412",2019-01-05,"Havre",4.604,5.397,5.898
"413",2019-01-05,"Helena",5.49,6.974,9.178
"414",2019-01-05,"Houston",18.933,18.89,21.16
"415",2019-01-05,"Huron",5.026,6.184,7.224
"416",2019-01-05,"Indianapolis",9.099,10.057,12.081
"417",2019-01-05,"Jacksonville",18.865,18.794,21.182
"418",2019-01-05,"KansasCity",10.558,10.258,10.425
"419",2019-01-05,"LaCrosse",6.031,7.215,9.897
"420",2019-01-05,"Lander",6.154,6.71,8.33
"421",2019-01-05,"Lansing",7.459,8.064,11.154
"422",2019-01-05,"LosAngeles",18.641,19.448,20.587
"423",2019-01-05,"Louisville",11.009,12.407,14.709
"424",2019-01-05,"Lynchburg",11.492,11.784,13.755
"425",2019-01-05,"Madison",6.147,7.166,8.964
"426",2019-01-05,"Marquette",5.698,4.241,4.011
"427",2019-01-05,"Memphis",13.453,14.682,16.218
"428",2019-01-05,"Meridian",15.396,15.962,18.591
"429",2019-01-05,"MiddletownHarrisburg",9.716,10.389,12.44
"430",2019-01-05,"Milwaukee",6.684,8.032,10.208
"431",2019-01-05,"Minneapolis",5.169,6.774,9.278
"432",2019-01-05,"Mobile",17.465,18.063,21.172
"433",2019-01-05,"Moline",7.526,8.642,10.339
"434",2019-01-05,"Montgomery",15.78,16.592,18.912
"435",2019-01-05,"Nashville",12.497,13.395,15.447
"436",2019-01-05,"NewYork",10.579,11.315,12.965
"437",2019-01-05,"NorfolkVA",12.947,14.141,16.683
"438",2019-01-05,"NorthPlatte",7.23,8.05,9.095
"439",2019-01-05,"Oklahoma",12.476,13.448,13.857
"440",2019-01-05,"Omaha",8.006,8.761,9.832
"441",2019-01-05,"Pensacola",17.858,18.688,21.214
"442",2019-01-05,"Philadelphia",10.176,11.604,13.546
"443",2019-01-05,"Phoenix",17.399,20.34,22.046
"444",2019-01-05,"Pittsburgh",8.729,9.483,11.445
"445",2019-01-05,"PortlandME",6.467,7.698,10.403
"446",2019-01-05,"Raleigh",12.908,14.066,15.963
"447",2019-01-05,"RochesterNY",7.615,8.424,10.442
"448",2019-01-05,"Roswell",12.68,14.219,17.489
"449",2019-01-05,"Sacramento",15.311,16.611,18.657
"450",2019-01-05,"SaltLakeCity",8.6,9.846,13.13
"451",2019-01-05,"SanAntonio",17.717,18.635,20.703
"452",2019-01-05,"SaultSteMarie",4.324,5.607,8.872
"453",2019-01-05,"Savannah",16.461,17.627,20.826
"454",2019-01-05,"Seattle",11.071,12.104,14.536
"455",2019-01-05,"Shreveport",15.949,16.604,18.408
